iter	Passed	Remaining
733	30423	11025
734	30479	10989
735	30527	10950
736	30567	10908
737	30606	10865
738	30645	10823
739	30680	10779
740	30717	10736
741	30761	10695
742	30823	10661
743	30860	10618
744	30897	10575
745	30931	10531
746	30969	10489
747	31014	10448
748	31065	10410
749	31117	10372
750	31162	10332
751	31209	10292
752	31255	10252
753	31298	10211
754	31342	10170
755	31385	10129
756	31428	10088
757	31475	10048
758	31516	10007
759	31557	9965
760	31603	9925
761	31644	9883
762	31684	9841
763	31726	9800
764	31783	9763
765	31819	9720
766	31860	9678
767	31904	9637
768	31941	9594
769	31979	9552
770	32015	9509
771	32053	9466
772	32085	9422
773	32121	9379
774	32156	9335
775	32195	9293
776	32230	9250
777	32270	9208
778	32333	9173
779	32374	9131
780	32423	9091
781	32466	9050
782	32514	9010
783	32584	8977
784	32633	8937
785	32683	8898
786	32732	8859
787	32787	8821
788	32846	8783
789	32898	8745
790	32951	8706
791	33009	8669
792	33059	8629
793	33106	8589
794	33156	8549
795	33202	8509
796	33256	8470
797	33317	8433
798	33363	8393
799	33418	8354
800	33466	8314
801	33520	8275
802	33562	8233
803	33602	8191
804	33645	8150
805	33685	8107
806	33727	8066
807	33786	8028
808	33831	7987
809	33879	7947
810	33921	7905
811	33962	7863
812	34003	7821
813	34045	7779
814	34085	7737
815	34125	7695
816	34176	7655
817	34227	7615
818	34267	7573
819	34308	7531
820	34345	7488
821	34380	7444
822	34414	7401
823	34455	7359
824	34489	7315
825	34527	7273
826	34574	7232
827	34628	7193
828	34665	7150
829	34712	7109
830	34752	7067
831	34790	7025
832	34828	6982
833	34866	6939
834	34902	6896
835	34937	6853
836	34978	6811
837	35020	6770
838	35076	6731
839	35114	6688
840	35153	6646
841	35194	6604
842	35230	6561
843	35273	6519
844	35308	6476
845	35344	6433
846	35379	6390
847	35419	6348
848	35461	6307
849	35518	6267
850	35562	6226
851	35595	6183
852	35632	6140
853	35675	6099
854	35715	6056
855	35751	6014
856	35785	5971
857	35830	5930
858	35881	5889
859	35946	5851
860	36005	5812
861	36055	5772
862	36099	5730
863	36138	5688
864	36182	5646
865	36219	5604
866	36257	5562
867	36307	5521
868	36355	5480
869	36405	5439
870	36445	5397
871	36481	5355
872	36520	5312
873	36554	5269
874	36592	5227
875	36628	5184
876	36661	5141
877	36699	5099
878	36735	5056
879	36767	5013
880	36804	4971
881	36868	4932
882	36903	4889
883	36937	4847
884	36975	4804
885	37011	4762
886	37047	4719
887	37090	4678
888	37124	4635
889	37158	4592
890	37194	4550
891	37230	4507
892	37267	4465
893	37324	4425
894	37358	4382
895	37393	4340
896	37426	4297
897	37458	4254
898	37496	4212
899	37530	4170
900	37568	4127
901	37605	4085
902	37642	4043
903	37677	4001
904	37712	3958
905	37769	3918
906	37808	3876
907	37845	3834
908	37882	3792
909	37923	3750
910	37964	3708
911	37998	3666
912	38034	3624
913	38066	3581
914	38106	3539
915	38143	3497
916	38203	3457
917	38248	3416
918	38285	3374
919	38319	3332
920	38367	3291
921	38419	3250
922	38466	3208
923	38501	3166
924	38537	3124
925	38573	3082
926	38611	3040
927	38662	2999
928	38696	2957
929	38729	2915
930	38767	2873
931	38805	2831
932	38846	2789
933	38901	2748
934	38935	2706
935	38977	2665
936	39016	2623
937	39054	2581
938	39090	2539
939	39142	2498
940	39190	2457
941	39226	2415
942	39262	2373
943	39305	2331
944	39347	2290
945	39399	2249
946	39439	2207
947	39473	2165
948	39508	2123
949	39556	2081
950	39607	2040
951	39643	1998
952	39674	1956
953	39714	1914
954	39767	1873
955	39814	1832
956	39853	1790
957	39890	1748
958	39928	1707
959	39985	1666
960	40026	1624
961	40065	1582
962	40102	1540
963	40142	1499
964	40188	1457
965	40240	1416
966	40279	1374
967	40318	1332
968	40358	1291
969	40395	1249
970	40451	1208
971	40497	1166
972	40532	1124
973	40572	1083
974	40616	1041
975	40668	1000
976	40705	958
977	40743	916
978	40779	874
979	40822	833
980	40877	791
981	40915	749
982	40951	708
983	40985	666
984	41022	624
985	41075	583
986	41121	541
987	41158	499
988	41193	458
989	41238	416
990	41285	374
991	41332	333
992	41369	291
993	41405	249
994	41448	208
995	41489	166
996	41541	124
997	41587	83
998	41623	41
999	41662	0
